Playlist ID,Playlist Name,Book,Type,Alya ID,Alya Name,Order,Tier 1 (Universal),Tier 2 (Playlist),Tier 3 (Video),Tier 4 (Audience),Combined Tags,Tag Count,Char Count,Char Usage %
1,האזינו,Deuteronomy,parasha,1,ראשון,1,"קריאה בתורה, טעמי המקרא, טעמים, Torah Reading","דברים, האזינו, Deuteronomy, Devarim, Haazinu","ראשון, Rishon","בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה","קריאה בתורה, טעמי המקרא, טעמים, Torah Reading, דברים, האזינו, Deuteronomy, Devarim, Haazinu, ראשון, Rishon, בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה",18,181,36.2%
1,האזינו,Deuteronomy,parasha,2,שני,2,"קריאה בתורה, טעמי המקרא, טעמים, Torah Reading","דברים, האזינו, Deuteronomy, Devarim, Haazinu","שני, Sheni","בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה","קריאה בתורה, טעמי המקרא, טעמים, Torah Reading, דברים, האזינו, Deuteronomy, Devarim, Haazinu, שני, Sheni, בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה",18,178,35.6%
1,האזינו,Deuteronomy,parasha,9,שלישי,3,"קריאה בתורה, טעמי המקרא, טעמים, Torah Reading","דברים, האזינו, Deuteronomy, Devarim, Haazinu","שלישי, Shlishi","בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה","קריאה בתורה, טעמי המקרא, טעמים, Torah Reading, דברים, האזינו, Deuteronomy, Devarim, Haazinu, שלישי, Shlishi, בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה",18,182,36.4%
1,האזינו,Deuteronomy,parasha,6,רביעי,4,"קריאה בתורה, טעמי המקרא, טעמים, Torah Reading","דברים, האזינו, Deuteronomy, Devarim, Haazinu","רביעי, Reviei","בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה","קריאה בתורה, טעמי המקרא, טעמים, Torah Reading, דברים, האזינו, Deuteronomy, Devarim, Haazinu, רביעי, Reviei, בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה",18,181,36.2%
1,האזינו,Deuteronomy,parasha,4,חמישי,5,"קריאה בתורה, טעמי המקרא, טעמים, Torah Reading","דברים, האזינו, Deuteronomy, Devarim, Haazinu","חמישי, Chamishi","בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה","קריאה בתורה, טעמי המקרא, טעמים, Torah Reading, דברים, האזינו, Deuteronomy, Devarim, Haazinu, חמישי, Chamishi, בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה",18,183,36.6%
1,האזינו,Deuteronomy,parasha,8,שישי,6,"קריאה בתורה, טעמי המקרא, טעמים, Torah Reading","דברים, האזינו, Deuteronomy, Devarim, Haazinu","שישי, Shishi","בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה","קריאה בתורה, טעמי המקרא, טעמים, Torah Reading, דברים, האזינו, Deuteronomy, Devarim, Haazinu, שישי, Shishi, בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה",18,180,36.0%
1,האזינו,Deuteronomy,parasha,7,שביעי,7,"קריאה בתורה, טעמי המקרא, טעמים, Torah Reading","דברים, האזינו, Deuteronomy, Devarim, Haazinu","שביעי, Shevii","בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה","קריאה בתורה, טעמי המקרא, טעמים, Torah Reading, דברים, האזינו, Deuteronomy, Devarim, Haazinu, שביעי, Shevii, בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה",18,181,36.2%
1,האזינו,Deuteronomy,parasha,5,מפטיר,8,"קריאה בתורה, טעמי המקרא, טעמים, Torah Reading","דברים, האזינו, Deuteronomy, Devarim, Haazinu","מפטיר, Maftir","בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה","קריאה בתורה, טעמי המקרא, טעמים, Torah Reading, דברים, האזינו, Deuteronomy, Devarim, Haazinu, מפטיר, Maftir, בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה",18,181,36.2%
1,האזינו,Deuteronomy,parasha,3,הפטרה,9,"קריאה בתורה, טעמי המקרא, טעמים, Torah Reading","דברים, האזינו, Deuteronomy, Devarim, Haazinu","הפטרה, Haftara","בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה","קריאה בתורה, טעמי המקרא, טעמים, Torah Reading, דברים, האזינו, Deuteronomy, Devarim, Haazinu, הפטרה, Haftara, בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה",18,182,36.4%
5,בראשית,Genesis,parasha,10,ראשון,1,"קריאה בתורה, טעמי המקרא, טעמים, Torah Reading","בראשית, בראשית, Genesis, Bereishit, Bereishit","ראשון, Rishon","בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה","קריאה בתורה, טעמי המקרא, טעמים, Torah Reading, בראשית, בראשית, Genesis, Bereishit, Bereishit, ראשון, Rishon, בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה",18,182,36.4%
5,בראשית,Genesis,parasha,11,שני,2,"קריאה בתורה, טעמי המקרא, טעמים, Torah Reading","בראשית, בראשית, Genesis, Bereishit, Bereishit","שני, Sheni","בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה","קריאה בתורה, טעמי המקרא, טעמים, Torah Reading, בראשית, בראשית, Genesis, Bereishit, Bereishit, שני, Sheni, בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה",18,179,35.8%
5,בראשית,Genesis,parasha,12,שלישי,3,"קריאה בתורה, טעמי המקרא, טעמים, Torah Reading","בראשית, בראשית, Genesis, Bereishit, Bereishit","שלישי, Shlishi","בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה","קריאה בתורה, טעמי המקרא, טעמים, Torah Reading, בראשית, בראשית, Genesis, Bereishit, Bereishit, שלישי, Shlishi, בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה",18,183,36.6%
5,בראשית,Genesis,parasha,13,רביעי,4,"קריאה בתורה, טעמי המקרא, טעמים, Torah Reading","בראשית, בראשית, Genesis, Bereishit, Bereishit","רביעי, Reviei","בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה","קריאה בתורה, טעמי המקרא, טעמים, Torah Reading, בראשית, בראשית, Genesis, Bereishit, Bereishit, רביעי, Reviei, בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה",18,182,36.4%
5,בראשית,Genesis,parasha,14,חמישי,5,"קריאה בתורה, טעמי המקרא, טעמים, Torah Reading","בראשית, בראשית, Genesis, Bereishit, Bereishit","חמישי, Chamishi","בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה","קריאה בתורה, טעמי המקרא, טעמים, Torah Reading, בראשית, בראשית, Genesis, Bereishit, Bereishit, חמישי, Chamishi, בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה",18,184,36.8%
5,בראשית,Genesis,parasha,15,שישי,6,"קריאה בתורה, טעמי המקרא, טעמים, Torah Reading","בראשית, בראשית, Genesis, Bereishit, Bereishit","שישי, Shishi","בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה","קריאה בתורה, טעמי המקרא, טעמים, Torah Reading, בראשית, בראשית, Genesis, Bereishit, Bereishit, שישי, Shishi, בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה",18,181,36.2%
5,בראשית,Genesis,parasha,16,שביעי,7,"קריאה בתורה, טעמי המקרא, טעמים, Torah Reading","בראשית, בראשית, Genesis, Bereishit, Bereishit","שביעי, Shevii","בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה","קריאה בתורה, טעמי המקרא, טעמים, Torah Reading, בראשית, בראשית, Genesis, Bereishit, Bereishit, שביעי, Shevii, בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה",18,182,36.4%
5,בראשית,Genesis,parasha,17,מפטיר,8,"קריאה בתורה, טעמי המקרא, טעמים, Torah Reading","בראשית, בראשית, Genesis, Bereishit, Bereishit","מפטיר, Maftir","בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה","קריאה בתורה, טעמי המקרא, טעמים, Torah Reading, בראשית, בראשית, Genesis, Bereishit, Bereishit, מפטיר, Maftir, בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה",18,182,36.4%
