Playlist,Alya,Order,YouTube Tags,Tag Count,Char Count,Usage %
האזינו,ראשון,1,"קריאה בתורה, טעמי המקרא, טעמים, Torah Reading, דברים, האזינו, Deuteronomy, Devarim, Haazinu, ראשון, Rishon, בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה",18,181,36.2%
האזינו,שני,2,"קריאה בתורה, טעמי המקרא, טעמים, Torah Reading, דברים, האזינו, Deuteronomy, Devarim, Haazinu, שני, Sheni, בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה",18,178,35.6%
האזינו,שלישי,3,"קריאה בתורה, טעמי המקרא, טעמים, Torah Reading, דברים, האזינו, Deuteronomy, Devarim, Haazinu, שלישי, Shlishi, בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה",18,182,36.4%
האזינו,רביעי,4,"קריאה בתורה, טעמי המקרא, טעמים, Torah Reading, דברים, האזינו, Deuteronomy, Devarim, Haazinu, רביעי, Reviei, בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה",18,181,36.2%
האזינו,חמישי,5,"קריאה בתורה, טעמי המקרא, טעמים, Torah Reading, דברים, האזינו, Deuteronomy, Devarim, Haazinu, חמישי, Chamishi, בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה",18,183,36.6%
האזינו,שישי,6,"קריאה בתורה, טעמי המקרא, טעמים, Torah Reading, דברים, האזינו, Deuteronomy, Devarim, Haazinu, שישי, Shishi, בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה",18,180,36.0%
האזינו,שביעי,7,"קריאה בתורה, טעמי המקרא, טעמים, Torah Reading, דברים, האזינו, Deuteronomy, Devarim, Haazinu, שביעי, Shevii, בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה",18,181,36.2%
האזינו,מפטיר,8,"קריאה בתורה, טעמי המקרא, טעמים, Torah Reading, דברים, האזינו, Deuteronomy, Devarim, Haazinu, מפטיר, Maftir, בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה",18,181,36.2%
האזינו,הפטרה,9,"קריאה בתורה, טעמי המקרא, טעמים, Torah Reading, דברים, האזינו, Deuteronomy, Devarim, Haazinu, הפטרה, Haftara, בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה",18,182,36.4%
בראשית,ראשון,1,"קריאה בתורה, טעמי המקרא, טעמים, Torah Reading, בראשית, בראשית, Genesis, Bereishit, Bereishit, ראשון, Rishon, בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה",18,182,36.4%
בראשית,שני,2,"קריאה בתורה, טעמי המקרא, טעמים, Torah Reading, בראשית, בראשית, Genesis, Bereishit, Bereishit, שני, Sheni, בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה",18,179,35.8%
בראשית,שלישי,3,"קריאה בתורה, טעמי המקרא, טעמים, Torah Reading, בראשית, בראשית, Genesis, Bereishit, Bereishit, שלישי, Shlishi, בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה",18,183,36.6%
בראשית,רביעי,4,"קריאה בתורה, טעמי המקרא, טעמים, Torah Reading, בראשית, בראשית, Genesis, Bereishit, Bereishit, רביעי, Reviei, בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה",18,182,36.4%
בראשית,חמישי,5,"קריאה בתורה, טעמי המקרא, טעמים, Torah Reading, בראשית, בראשית, Genesis, Bereishit, Bereishit, חמישי, Chamishi, בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה",18,184,36.8%
בראשית,שישי,6,"קריאה בתורה, טעמי המקרא, טעמים, Torah Reading, בראשית, בראשית, Genesis, Bereishit, Bereishit, שישי, Shishi, בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה",18,181,36.2%
בראשית,שביעי,7,"קריאה בתורה, טעמי המקרא, טעמים, Torah Reading, בראשית, בראשית, Genesis, Bereishit, Bereishit, שביעי, Shevii, בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה",18,182,36.4%
בראשית,מפטיר,8,"קריאה בתורה, טעמי המקרא, טעמים, Torah Reading, בראשית, בראשית, Genesis, Bereishit, Bereishit, מפטיר, Maftir, בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה",18,182,36.4%
בראשית,הפטרה,9,"קריאה בתורה, טעמי המקרא, טעמים, Torah Reading, בראשית, בראשית, Genesis, Bereishit, Bereishit, הפטרה, Haftara, בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה",18,183,36.6%
נח,ראשון,1,"קריאה בתורה, טעמי המקרא, טעמים, Torah Reading, בראשית, נח, Genesis, Bereishit, Noach, ראשון, Rishon, בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה",18,174,34.8%
נח,שני,2,"קריאה בתורה, טעמי המקרא, טעמים, Torah Reading, בראשית, נח, Genesis, Bereishit, Noach, שני, Sheni, בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה",18,171,34.2%
נח,שלישי,3,"קריאה בתורה, טעמי המקרא, טעמים, Torah Reading, בראשית, נח, Genesis, Bereishit, Noach, שלישי, Shlishi, בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה",18,175,35.0%
נח,רביעי,4,"קריאה בתורה, טעמי המקרא, טעמים, Torah Reading, בראשית, נח, Genesis, Bereishit, Noach, רביעי, Reviei, בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה",18,174,34.8%
נח,חמישי,5,"קריאה בתורה, טעמי המקרא, טעמים, Torah Reading, בראשית, נח, Genesis, Bereishit, Noach, חמישי, Chamishi, בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה",18,176,35.2%
נח,שישי,6,"קריאה בתורה, טעמי המקרא, טעמים, Torah Reading, בראשית, נח, Genesis, Bereishit, Noach, שישי, Shishi, בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה",18,173,34.6%
נח,שביעי,7,"קריאה בתורה, טעמי המקרא, טעמים, Torah Reading, בראשית, נח, Genesis, Bereishit, Noach, שביעי, Shevii, בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה",18,174,34.8%
נח,מפטיר,8,"קריאה בתורה, טעמי המקרא, טעמים, Torah Reading, בראשית, נח, Genesis, Bereishit, Noach, מפטיר, Maftir, בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה",18,174,34.8%
נח,הפטרה,9,"קריאה בתורה, טעמי המקרא, טעמים, Torah Reading, בראשית, נח, Genesis, Bereishit, Noach, הפטרה, Haftara, בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה",18,175,35.0%
לך לך,ראשון,1,"קריאה בתורה, טעמי המקרא, טעמים, Torah Reading, בראשית, לך לך, Genesis, Bereishit, Lech Lecha, ראשון, Rishon, בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה",18,182,36.4%
לך לך,שני,2,"קריאה בתורה, טעמי המקרא, טעמים, Torah Reading, בראשית, לך לך, Genesis, Bereishit, Lech Lecha, שני, Sheni, בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה",18,179,35.8%
לך לך,שלישי,3,"קריאה בתורה, טעמי המקרא, טעמים, Torah Reading, בראשית, לך לך, Genesis, Bereishit, Lech Lecha, שלישי, Shlishi, בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה",18,183,36.6%
לך לך,רביעי,4,"קריאה בתורה, טעמי המקרא, טעמים, Torah Reading, בראשית, לך לך, Genesis, Bereishit, Lech Lecha, רביעי, Reviei, בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה",18,182,36.4%
לך לך,חמישי,5,"קריאה בתורה, טעמי המקרא, טעמים, Torah Reading, בראשית, לך לך, Genesis, Bereishit, Lech Lecha, חמישי, Chamishi, בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה",18,184,36.8%
לך לך,שישי,6,"קריאה בתורה, טעמי המקרא, טעמים, Torah Reading, בראשית, לך לך, Genesis, Bereishit, Lech Lecha, שישי, Shishi, בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה",18,181,36.2%
לך לך,שביעי,7,"קריאה בתורה, טעמי המקרא, טעמים, Torah Reading, בראשית, לך לך, Genesis, Bereishit, Lech Lecha, שביעי, Shevii, בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה",18,182,36.4%
לך לך,מפטיר,8,"קריאה בתורה, טעמי המקרא, טעמים, Torah Reading, בראשית, לך לך, Genesis, Bereishit, Lech Lecha, מפטיר, Maftir, בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה",18,182,36.4%
לך לך,הפטרה,9,"קריאה בתורה, טעמי המקרא, טעמים, Torah Reading, בראשית, לך לך, Genesis, Bereishit, Lech Lecha, הפטרה, Haftara, בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה",18,183,36.6%
וירא,ראשון,1,"קריאה בתורה, טעמי המקרא, טעמים, Torah Reading, בראשית, וירא, Genesis, Bereishit, Vayera, ראשון, Rishon, בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה",18,177,35.4%
וירא,שני,2,"קריאה בתורה, טעמי המקרא, טעמים, Torah Reading, בראשית, וירא, Genesis, Bereishit, Vayera, שני, Sheni, בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה",18,174,34.8%
וירא,שלישי,3,"קריאה בתורה, טעמי המקרא, טעמים, Torah Reading, בראשית, וירא, Genesis, Bereishit, Vayera, שלישי, Shlishi, בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה",18,178,35.6%
וירא,רביעי,4,"קריאה בתורה, טעמי המקרא, טעמים, Torah Reading, בראשית, וירא, Genesis, Bereishit, Vayera, רביעי, Reviei, בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה",18,177,35.4%
וירא,חמישי,5,"קריאה בתורה, טעמי המקרא, טעמים, Torah Reading, בראשית, וירא, Genesis, Bereishit, Vayera, חמישי, Chamishi, בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה",18,179,35.8%
וירא,שישי,6,"קריאה בתורה, טעמי המקרא, טעמים, Torah Reading, בראשית, וירא, Genesis, Bereishit, Vayera, שישי, Shishi, בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה",18,176,35.2%
וירא,שביעי,7,"קריאה בתורה, טעמי המקרא, טעמים, Torah Reading, בראשית, וירא, Genesis, Bereishit, Vayera, שביעי, Shevii, בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה",18,177,35.4%
וירא,מפטיר,8,"קריאה בתורה, טעמי המקרא, טעמים, Torah Reading, בראשית, וירא, Genesis, Bereishit, Vayera, מפטיר, Maftir, בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה",18,177,35.4%
וירא,הפטרה,9,"קריאה בתורה, טעמי המקרא, טעמים, Torah Reading, בראשית, וירא, Genesis, Bereishit, Vayera, הפטרה, Haftara, בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה",18,178,35.6%
חיי שרה,ראשון,1,"קריאה בתורה, טעמי המקרא, טעמים, Torah Reading, בראשית, חיי שרה, Genesis, Bereishit, Chayei Sarah, ראשון, Rishon, בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה",18,186,37.2%
חיי שרה,שני,2,"קריאה בתורה, טעמי המקרא, טעמים, Torah Reading, בראשית, חיי שרה, Genesis, Bereishit, Chayei Sarah, שני, Sheni, בר מצווה, Bar Mitzvah, בת מצווה, Bat Mitzvah, אשכנז, Ashkenaz, לימוד תורה",18,183,36.6%
